,Event_Name,Venue,Addresses,Event_Date,Number_of_Attendees
12,Nakamura.ke presents Night Parades of Benevolent Demons,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",13 Feb 2019 ,1
13,Nakamura.ke presents Night Parades of Benevolent Demons,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",13 Feb 2019 ,1
14,Laidback Luke,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",15 Feb 2019,2
15,Nakamura.ke presents Night Parades of Benevolent Demons,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",13 Feb 2019 ,1
16,Brazilian Wax,"<a class=""cat-rev"" href=""/club.aspx?id=163637"" title=""Club profile of Buteco"">Buteco</a>"," 1039 Grant St SE suite c-10, Atlanta, GA 30315",15 Feb 2019,1
17,FWM x DKA Records Kudzu,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",15 Feb 2019,1
18,Tambor Party [Sat Feb 16],"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",16 Feb 2019,7
19,Deep South presents Horse Meat Disco,"<a class=""cat-rev"" href=""/club.aspx?id=124133"" title=""Club profile of The Heretic"">The Heretic</a>"," 2069 Cheshire Bridge Road Northeast, Atlanta, GA 30324",16 Feb 2019,4
20,Nakamura.ke presents Night Parades of Benevolent Demons,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",13 Feb 2019 ,1
21,DOM Dolla,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",16 Feb 2019,1
22,Psycho Disco,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",16 Feb 2019,1
23,James Blake,"<a class=""cat-rev"" href=""/club.aspx?id=6143"" title=""Club profile of The Tabernacle"">The Tabernacle</a>"," 152 Luckie Street NW; Atlanta, GA 30303; United States",18 Feb 2019,2
24,La Choloteca,"<a class=""cat-rev"" href=""/club.aspx?id=29727"" title=""Club profile of MJQ Concourse"">MJQ Concourse</a>"," 736 Ponce De Leon Place, Atlanta, GA",21 Feb 2019,2
25,3LAU,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",22 Feb 2019,1
26,"Bleep Bloop, The Flashbulb, Flohr, Stlndrms","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",22 Feb 2019,0
0,CamelPhat,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",23 Feb 2019,5
1,NÜN: Kink,TBA - Atlanta,To Be Announced,23 Feb 2019,1
2,subtle presents - An Intimate Experience with Art Department,"<a class=""cat-rev"" href=""/club.aspx?id=113431"" title=""Club profile of Speakeasy Lounge"">Speakeasy Lounge</a>"," 156 Forsyth St SW, Atlanta, GA 30303",25 Feb 2019,6
3,Foolish Behaviour,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",28 Feb 2019,3
4,Sonny Fodera at Wish Lounge Atlanta,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",1 Mar 2019,13
5,Atlanta Underground Exchange Festival,"<a class=""cat-rev"" href=""/club.aspx?id=148275"" title=""Club profile of Okami"">Okami</a>"," 645 Shelton Ave SW Atlanta, Ga 30310",1 Mar 2019,1
6,Daddy Issues Atlanta,"<a class=""cat-rev"" href=""/club.aspx?id=124133"" title=""Club profile of The Heretic"">The Heretic</a>"," 2069 Cheshire Bridge Road Northeast, Atlanta, GA 30324",1 Mar 2019,2
7,Keys N' Krates,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",1 Mar 2019,1
8,Housewerk Xvii with Attlas (Mau5trap),"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",1 Mar 2019,1
9,The Gathering 14th Anniversary with Mark De Clive Lowe,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",2 Mar 2019,29
10,Two Friends,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",2 Mar 2019,1
11,LP Mondays,"<a class=""cat-rev"" href=""/club.aspx?id=163637"" title=""Club profile of Buteco"">Buteco</a>"," 1039 Grant St SE suite c-10, Atlanta, GA 30315",4 Mar 2019,1
12,"Cofresi, Plantrae","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",7 Mar 2019 ,1
13,"Sweven, Chapter 1: David Hohme & Enamour [The Music Room - Atlanta]","<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",8 Mar 2019,11
14,"Cofresi, Plantrae","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",7 Mar 2019 ,1
15,Audien,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",8 Mar 2019,1
16,Spencer Brown / Liquified,"<a class=""cat-rev"" href=""/club.aspx?id=156556"" title=""Club profile of District Atlanta"">District Atlanta</a>"," 269 Armour Drive NE, Atlanta, GA 30324, USA",8 Mar 2019,1
17,Alley Cat Music with Ryan Crosson,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",9 Mar 2019,2
18,"Cofresi, Plantrae","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",7 Mar 2019 ,1
19,Slander presents: The Headbangers Ball,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",9 Mar 2019,1
20,"Kamaal Williams, Jitwam, Quas","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",12 Mar 2019,0
21,Eventbrite - Tickets Only,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",14 Mar 2019,2
22,Beware Presents Break Science with Special Guests Modern Measure,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",14 Mar 2019,1
23,"Henry Wu, Kai Alce, Jitwam, Dee Belvedere","<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",14 Mar 2019,1
24,Tambor Party [FRI March 15],"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",15 Mar 2019,7
25,GTA,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",15 Mar 2019,1
26,Private Label presents Will Clarke,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",16 Mar 2019,4
27,subtle presents.. Bruno Furlan,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",16 Mar 2019,2
28,"Random Rab, Bluetech","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",16 Mar 2019,1
29,"Fit of Body, Sarah Swillum, Cal Fish, LEYA and Frankie Consent","<a class=""cat-rev"" href=""/club.aspx?id=164928"" title=""Club profile of Mother"">Mother</a>"," 447 Edgewood Avenue SE, Atlanta, 30312",20 Mar 2019,0
30,La Choloteca,"<a class=""cat-rev"" href=""/club.aspx?id=29727"" title=""Club profile of MJQ Concourse"">MJQ Concourse</a>"," 736 Ponce De Leon Place, Atlanta, GA",21 Mar 2019,2
31,Rewire presents: Safe House,"<a class=""cat-rev"" href=""/club.aspx?id=164928"" title=""Club profile of Mother"">Mother</a>"," 447 Edgewood Avenue SE, Atlanta, 30312",21 Mar 2019,1
32,Deep South presents The Black Madonna,"<a class=""cat-rev"" href=""/club.aspx?id=124133"" title=""Club profile of The Heretic"">The Heretic</a>"," 2069 Cheshire Bridge Road Northeast, Atlanta, GA 30324",22 Mar 2019,9
33,KUDZU Presents: Monty Luke / Vicki Powell / Stefan Ringer,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",22 Mar 2019,5
34,"Coki, J:Kenzo, Clerks","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",22 Mar 2019,1
0,Sunset: Friends & Family [Invite Only],TBA - Atlanta,To Be Announced,23 Mar 2019,77
1,Kevin Saunderson (Official Movement Fest Pre-Party),"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",23 Mar 2019,1
2,Ron Trent: Prescription Underground,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",23 Mar 2019,1
3,"Martyn, Flohr b2b Dee Belvedere, Charolastra, Mull, Tito Mazzetta","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",23 Mar 2019,3
4,Tchami's Ghosts: Back To The Origins,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",23 Mar 2019,1
5,"Loci Records Showcase: Emancipator, Marley Carroll, 9theory, Lapa","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",28 Mar 2019,5
6,subtle presents: A Warehouse Experience with Anna ,Subtle Warehouse,Heart of Atlanta Address TBA,29 Mar 2019,6
7,Jeremy Olander,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",29 Mar 2019 ,2
8,Art Club Trap Chapel,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",29 Mar 2019,1
9,Archie Hamilton Under-Wraps™,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",30 Mar 2019,22
10,Kudzu x CGI Records Presents,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",30 Mar 2019,3
11,Jeremy Olander,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",29 Mar 2019 ,2
12,"Sermon ATL: Yheti, Kursa, K.L.O.","<a class=""cat-rev"" href=""/club.aspx?id=158443"" title=""Club profile of Georgia Freight Depot"">Georgia Freight Depot</a>"," 65 M.L.K. Jr Dr SW, Atlanta, GA 30303, USA",30 Mar 2019,1
13,Laura Indorf and Corey Jackson,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",30 Mar 2019,1
14,NÜN: Roots,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",30 Mar 2019,1
15,Foolish Behaviour,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",4 Apr 2019,1
16,Souled Out - Let There Be House,"<a class=""cat-rev"" href=""/club.aspx?id=166493"" title=""Club profile of Gallery 992"">Gallery 992</a>"," 992 Ralph David Abernathy Blvd, Atlanta, GA 30310, USA",4 Apr 2019,1
17,Malaa,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",5 Apr 2019,2
18,"Wrektacular with Rabit, MHYSA, Traxman & More","<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",5 Apr 2019,2
19,"Charlesthefirst, Tiedye ky, Abelation","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",5 Apr 2019,1
20,Alley Cat Music with DJ Minx,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",6 Apr 2019,1
21,"Boy Harsher, Special Interest","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",6 Apr 2019,4
22,Private Label presents Mark Kinchen - Housemates US Tour,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",6 Apr 2019,2
23,10 Years of Circus - Flux Pavilion and,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",7 Apr 2019,1
24,Duke Dumont,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",12 Apr 2019,4
25,Nu Zau b2b Sepp by Project B.,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",13 Apr 2019,20
26,AC Slater,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",13 Apr 2019,1
27,"Kiefer, Charolastra","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",14 Apr 2019,1
28,La Choloteca with DJ Pazmal,"<a class=""cat-rev"" href=""/club.aspx?id=29727"" title=""Club profile of MJQ Concourse"">MJQ Concourse</a>"," 736 Ponce De Leon Place, Atlanta, GA",18 Apr 2019,1
29,GNR Sound and Lava House present: Heat Index 3 ATL,"<a class=""cat-rev"" href=""/club.aspx?id=164928"" title=""Club profile of Mother"">Mother</a>"," 447 Edgewood Avenue SE, Atlanta, 30312",18 Apr 2019,0
30,Tambor Party [FRI April 19],"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",19 Apr 2019,11
31,Borgore,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",19 Apr 2019,1
32,MELT presents Modern Electronics,"<a class=""cat-rev"" href=""/club.aspx?id=167059"" title=""Club profile of The Met"">The Met</a>"," 675 Metropolitan Pkwy SW #4000, Atlanta, GA 30310, USA",20 Apr 2019,4
33,Gorgon City,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",20 Apr 2019,3
34,Deep South presents Honcho,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",20 Apr 2019,2
35,DKA presents Myn & Collin Gorman Weiland,"<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",20 Apr 2019,2
36,NÜN: GAS,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",20 Apr 2019,1
37,Midcity Cafe with DJ Inc & Wahine,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",20 Apr 2019,0
38,Deep South Afters with Harry Cross and Ash Lauryn,TBA - Atlanta,To Be Announced,21 Apr 2019 ,3
39,Sunday Service - Easter Revival,"<a class=""cat-rev"" href=""/club.aspx?id=150953"" title=""Club profile of Sister Louisa's Church"">Sister Louisa's Church</a>"," 466 Edgewood Ave SE, Atlanta, Georgia 30312",21 Apr 2019,2
0,"Stööki Sound, Hiku, Xavier BLK, P Villa","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",25 Apr 2019,1
1,Foolish Behaviour - Zexter presents Zafaria,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",25 Apr 2019,0
2,Harder Atlanta,"<a class=""cat-rev"" href=""/club.aspx?id=167131"" title=""Club profile of The Heretic"">The Heretic</a>"," 2069 Cheshire Bridge Rd NE, Atlanta, GA 30324, USA",26 Apr 2019,23
3,Dirty South Rave,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",26 Apr 2019,1
4,"Sweven, Chapter 2: Marsh (Anjunadeep) Paraleven (Housewerk)","<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",26 Apr 2019,1
5,Boombox Cartel,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",26 Apr 2019,0
6,Sunset: Friends & Family [Invite Only],TBA - Atlanta,To Be Announced,27 Apr 2019,49
7,Private Label presents JAX Jones US Tour,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",27 Apr 2019,2
8,Furball Atlanta // Dani Toro,"<a class=""cat-rev"" href=""/club.aspx?id=167131"" title=""Club profile of The Heretic"">The Heretic</a>"," 2069 Cheshire Bridge Rd NE, Atlanta, GA 30324, USA",27 Apr 2019,1
9,"Xeno & Oaklander, Plastic Ivy, Pyramid Club","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",29 Apr 2019,1
10,Alexi Delano-ATL Marathon Set,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",3 May 2019,3
11,First Fridays with Deep South,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",3 May 2019,2
12,Society Takeover with Andre Gazolla,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",4 May 2019,2
13,La Choloteca: El Star Barrio,"<a class=""cat-rev"" href=""/club.aspx?id=37211"" title=""Club profile of The Star Bar"">The Star Bar</a>"," 437 Moreland Ave, Atlanta, GA 30307, USA",4 May 2019,0
14,DEF:AM 001,"<a class=""cat-rev"" href=""/club.aspx?id=136289"" title=""Club profile of Piedmont Park"">Piedmont Park</a>"," 400 Park Dr NE, Atlanta, GA 30309, USA",5 May 2019,4
15,The Prodigy,"<a class=""cat-rev"" href=""/club.aspx?id=6143"" title=""Club profile of The Tabernacle"">The Tabernacle</a>"," 152 Luckie Street NW; Atlanta, GA 30303; United States",8 May 2019,0
16,Banshee Late Night pres. Divine Interface,"<a class=""cat-rev"" href=""/club.aspx?id=160619"" title=""Club profile of Banshee"">Banshee</a>"," 1271 Glenwood Ave SE, Atlanta, GA, 30316",10 May 2019,1
17,DKA Goth Danse Party with Kontravoid and more,"<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",10 May 2019,1
18,Sunset: Friends & Family [Invite Only],TBA - Atlanta,To Be Announced,11 May 2019,26
19,Elif with Aria & Silent Duality,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",11 May 2019,11
20,Alley Cat Music with Cinthie,"<a class=""cat-rev"" href=""/club.aspx?id=148275"" title=""Club profile of Okami"">Okami</a>"," 645 Shelton Ave SW Atlanta, Ga 30310",11 May 2019,8
21,Edge of Chaos,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",11 May 2019,1
22,Banshee Late Night pres. Kai Alce,"<a class=""cat-rev"" href=""/club.aspx?id=160619"" title=""Club profile of Banshee"">Banshee</a>"," 1271 Glenwood Ave SE, Atlanta, GA, 30316",11 May 2019,1
23,"Mala, Egoless","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",16 May 2019,1
24,Banshee pres. Yokai Yatai Ramen Night,"<a class=""cat-rev"" href=""/club.aspx?id=160619"" title=""Club profile of Banshee"">Banshee</a>"," 1271 Glenwood Ave SE, Atlanta, GA, 30316",16 May 2019,1
25,Disclosure (DJ Set),"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",16 May 2019,0
26,W&W,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",17 May 2019,1
27,Technoself Immersive,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",17 May 2019,1
28,"CLUB SODA ft Ash Lauryn, Divine Interface, Florista Taradactyl","<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",17 May 2019,1
29,KUDZU feat - SIMON Smthng / QUAS / KNZ / Stefan Ringer,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",17 May 2019,1
30,Banshee Late Night pres. Paolo Mentonelli,"<a class=""cat-rev"" href=""/club.aspx?id=160619"" title=""Club profile of Banshee"">Banshee</a>"," 1271 Glenwood Ave SE, Atlanta, GA, 30316",17 May 2019,1
31,Alley Cat Music with DJ Tennis,"<a class=""cat-rev"" href=""/club.aspx?id=169001"" title=""Club profile of The Masquerade"">The Masquerade</a>"," 75 MLK Jr Drive SW, Atlanta, GA 30303",18 May 2019,17
32,"Melt 3.0 Feat. Kai Alcé, C-Jack, DJ NSA, Medallion Man, Kortzer, Paolo, Tito Mazzetta","<a class=""cat-rev"" href=""/club.aspx?id=167059"" title=""Club profile of The Met"">The Met</a>"," 675 Metropolitan Pkwy SW #4000, Atlanta, GA 30310, USA",18 May 2019,4
33,Unity's 5th Birthday feat. Giuseppe Ottaviani Live 2.0,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",18 May 2019,2
34,Banshee Late Night pres. Black Box Disco,"<a class=""cat-rev"" href=""/club.aspx?id=160619"" title=""Club profile of Banshee"">Banshee</a>"," 1271 Glenwood Ave SE, Atlanta, GA, 30316",18 May 2019,1
35,Psycho Disco,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",18 May 2019,0
0,Foolish Behaviour,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",23 May 2019,1
1,Chunk,"<a class=""cat-rev"" href=""/club.aspx?id=167131"" title=""Club profile of The Heretic"">The Heretic</a>"," 2069 Cheshire Bridge Rd NE, Atlanta, GA 30324, USA",24 May 2019,0
