,Event_Name,Venue,Addresses,Event_Date,Number_of_Attendees
10,Tambor 'Holiday' Party,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",16 Dec 2017,1
11,Wish List at The Social Holiday,"<a class=""cat-rev"" href=""/club.aspx?id=2670"" title=""Club profile of Lava Lounge"">Lava Lounge</a>"," 57 13th Street NE; Atlanta, GA 30361; United States",16 Dec 2017,0
12,Deekline(UK) at The Wormhole,"<a class=""cat-rev"" href=""/club.aspx?id=55034"" title=""Club profile of The Wormhole Bar and Music Venue"">The Wormhole Bar and Music Venue</a>"," 2307 Bull St. Savannah, 31401, GA, United States of America",22 Dec 2017,2
0,NYE Warehouse Afterparty by Alley Cat Music,"<a class=""cat-rev"" href=""/club.aspx?id=148275"" title=""Club profile of Okami"">Okami</a>"," 645 Shelton Ave SW Atlanta, Ga 30310",1 Jan 2018,0
1,Atlast II,TBA - Atlanta,To Be Announced,5 Jan 2018,3
2,Kudzu - Grey People / Vicki Powell / Twins & D2T,"<a class=""cat-rev"" href=""/club.aspx?id=103261"" title=""Club profile of Kaleidoscape"">Kaleidoscape</a>"," 825 Warner St, Atlanta, Georgia 30310",5 Jan 2018,5
3,"Space Jesus, Buku, Of the Trees, Huxley Anne","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",10 Jan 2018,0
4,"Space Jesus, Buku, Of the Trees, Huxley Anne","<a class=""cat-rev"" href=""/club.aspx?id=11741"" title=""Club profile of Variety Playhouse"">Variety Playhouse</a>", Atlanta,11 Jan 2018,1
5,IRL The Return,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",12 Jan 2018,1
6,"Flamingosis, Alphatrion, Nahncenz, Derlee","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",12 Jan 2018,0
